Features,WDH,SVIH,BCH,A20H
40,0.014613809,0.006558704,0.006864407,0.006804124
80,0.062173791,0.016992999,0.019827406,0.020163338
120,0.375908756,0.113821629,0.064901874,0.068601979
160,0.319438052,0.059840034,0.060221638,0.064023664
200,0.741641017,0.095995121,0.097542279,0.11276722
240,1.093156455,0.126679823,0.121247411,0.124251108
320,0.75855187,0.101755354,0.102914239,0.1076235
400,1.718656598,0.182342167,0.149619836,0.15629344
480,2.711470073,0.247784338,0.247059054,0.252849823
640,2.485804441,0.242170194,0.235742774,0.273019073
800,10.83178859,0.965641052,0.983866804,0.950504366
960,4.084747489,0.398411788,0.382942149,0.417379927
1280,8.923916435,0.695499461,0.797744787,0.81754532
1600,12.67895094,1.184595372,1.325145084,1.2127074
1920,16.37333483,1.292128167,1.384926152,1.363903651
2560,32.003177,2.075390581,2.650471128,2.710467924
3200,51.08256551,3.407414299,3.341382707,3.451969712
3840,89.27132227,6.251743054,4.917695722,5.730988864
5120,156.8881313,8.558440782,8.73957518,9.170873003
6400,209.5093836,11.83271171,12.87323023,13.11451736